醫事機構代碼,醫事機構名稱,電話,地址,地圖地址,緯度,經度,備註,縣市,鄉鎮市區
5901012203,博荃藥局,02-27316736,台北市松山區敦化北路4巷51號,台北市松山區中正里18鄰敦化北路4巷51號,25.050063,121.544742,"如遇國定連續假期,藥局公休",台北市,松山區
5901012383,德川中西藥局,02-27683399,台北市松山區八德路4段96號,台北市松山區復盛里17鄰八德路四段96號,25.04836,121.56066000000001,,台北市,松山區
5901012409,家音藥局,02-37652080,台北市松山區民生東路5段73號,台北市松山區東榮里7鄰民生東路五段73號,25.058709,121.558489,早上9:00到晚上11:00,台北市,松山區
5901012454,敦北藥局,02-27155691,台北市松山區民生東路4段80巷5號,台北市松山區東昌里10鄰民生東路四段80巷5號,25.057129,121.553125,,台北市,松山區
5901012490,中美藥局,02-27627468,台北市松山區富錦街531號,台北市松山區新益里17鄰富錦街531號,25.061285,121.565481,"營業時間如有異動,以藥局公告為準",台北市,松山區
5901012507,康麗藥局,02-27174117,台北市松山區南京東路3段303巷20號,台北市松山區中正里22鄰南京東路三段303巷20號,25.05369,121.546826,春節營業時間請電洽,台北市,松山區
5901012516,惠登藥局,02-25472432,台北市松山區民生東路3段130巷34號,台北市松山區松基里8鄰民生東路三段130巷34號,25.056198000000002,121.54611299999999,,台北市,松山區
5901012561,松田藥局,02-25798005,台北市松山區延吉街9－6號,台北市松山區吉仁里2鄰延吉街9之6號,25.047007,121.55355,,台北市,松山區
5901012570,予志藥局,02-27623522,台北市松山區富錦街521號,台北市松山區富錦里16鄰富錦街521號,25.061186,121.564944,,台北市,松山區
5901012598,婕登藥局,02-27482893,台北市松山區八德路4段699號,台北市松山區慈祐里20鄰八德路四段699號,25.050207,121.57664399999999,,台北市,松山區
5901012632,晨安藥局,02-25798460,台北市松山區八德路3段155巷20弄2號,台北市松山區復勢里7鄰八德路三段155巷20弄2號,25.049136999999998,121.55532600000001,,台北市,松山區
5901012650,銘德藥局,02-27511833,台北市松山區八德路2段366巷28號,台北市松山區中崙里10鄰八德路二段366巷28號,25.047242,121.545925,,台北市,松山區
5901012669,政昇藥局,02-27560286,台北市松山區南京東路5段356號13樓,台北市松山區新聚里3鄰南京東路五段356號,25.051063,121.56969099999999,,台北市,松山區
5901012712,立康大藥局,02-27471749,台北市松山區八德路四段2－1號,台北市松山區復盛里1鄰八德路四段2之1號,25.048117,121.55811100000001,,台北市,松山區
5901012749,躍獅松和藥局,02-27492569,台北市松山區八德路四段666－1號,台北市松山區慈祐里18鄰八德路四段666之1號,25.049789999999998,121.57609199999999,,台北市,松山區
5901012758,京東藥局,02-27679503,台北市松山區南京東路五段272號,台北市松山區新聚里10鄰南京東路五段272號,25.05114,121.56694499999999,,台北市,松山區
5901012767,晨新藥局,02-27422951,台北市松山區八德路4段91巷1－1號,台北市松山區吉祥里23鄰八德路四段91巷1之1號,25.048944,121.56076100000001,,台北市,松山區
5901012918,躍獅京華藥局,02-27666508,台北市松山區南京東路5段71號,台北市松山區東光里23鄰南京東路五段71號,25.051714999999998,121.55956200000001,,台北市,松山區
5901012963,綠之家藥局,02-25289595,台北市松山區延壽街428號,台北市松山區龍田里10鄰延壽街428號,25.056197,121.55621699999999,,台北市,松山區
5901013004,德安藥局,02-25782670,台北市松山區八德路3段195號2樓,台北市松山區復勢里1鄰八德路三段195號,25.048163,121.55618999999999,,台北市,松山區
5901013095,康采藥局,02-27670271,台北市松山區南京東路5段291巷17－2號,台北市松山區安平里20鄰南京東路五段291巷17之2號,25.052363,121.566253,,台北市,松山區
5901013120,誠康中西藥局,02-27619679,台北市松山區南京東路5段59巷31弄43號,台北市松山區東光里15鄰南京東路五段59巷31弄43號,25.053458,121.560723,,台北市,松山區
